id,a_node,b_node,road_type,type_bike,existing_bike_infra,speed_car,speed_bike,capacity,green_overlap_percentage,slope,init_nbr_car_lane,length,geometry,nbr_car_lane,capacity_per_lane,capacity_cars,free_flow_speed_car,free_flow_speed_bike,free_flow_time_car,free_flow_time_bike,travel_time_car,travel_time_bike,capacity_bikes,alpha,beta,flow_car,flow_bike,length_bi
72341,4874,4886,10,None,False,0.20838096326779448,0.08930612711476908,1200.0,92.61678411393456,0.0,1.0,48.19354,"LINESTRING (83445.578125 447832.03125, 83417.3515625 447792.96875)",1.0,1200.0,1200.0,0.20838096326779448,0.08930612711476908,166.07208546885226,387.50153276065527,166.07208546885226,387.50153276065527,99999,0.15,4,0,0,34.60626114189093
72342,4886,4874,10,None,False,0.20838096326779448,0.08930612711476908,1200.0,92.61678411393456,0.0,1.0,48.19354,"LINESTRING (83445.578125 447832.03125, 83417.3515625 447792.96875)",1.0,1200.0,1200.0,0.20838096326779448,0.08930612711476908,166.07208546885226,387.50153276065527,166.07208546885226,387.50153276065527,99999,0.15,4,0,0,34.60626114189093
96031,6448,6451,10,None,False,0.20838096326779448,0.08930612711476908,1200.0,0.0,0.0,1.0,281.49918,"LINESTRING (83844.5390625 449272.65625, 83635.78125 449461.5)",1.0,1200.0,1200.0,0.20838096326779448,0.08930612711476908,970.1629456405142,2263.713539827866,970.1629456405142,2263.713539827866,99999,0.15,4,0,0,202.16348913929127
96032,6451,6448,10,None,False,0.20838096326779448,0.08930612711476908,1200.0,0.0,0.0,1.0,281.49918,"LINESTRING (83844.5390625 449272.65625, 83635.78125 449461.5)",1.0,1200.0,1200.0,0.20838096326779448,0.08930612711476908,970.1629456405142,2263.713539827866,970.1629456405142,2263.713539827866,99999,0.15,4,0,0,202.16348913929127
96091,6448,6453,8,bike_path,True,0.29768709038256363,0.08930612711476908,1800.0,0.0,0.0,1.0,263.29017,"LINESTRING (83844.5390625 449272.65625, 83926.625 449177.96875, 83970.78125 449047.25)",0.0,1800.0,0.0,0.29768709038256363,0.08930612711476908,623.2578211458372,2077.526070486124,623.2578211458372,2077.526070486124,99999,0.15,4,0,0,185.5358073350805
96092,6453,6448,8,bike_path,True,0.29768709038256363,0.08930612711476908,1800.0,0.0,0.0,1.0,263.29017,"LINESTRING (83844.5390625 449272.65625, 83926.625 449177.96875, 83970.78125 449047.25)",0.0,1800.0,0.0,0.29768709038256363,0.08930612711476908,623.2578211458372,2077.526070486124,623.2578211458372,2077.526070486124,99999,0.15,4,0,0,185.5358073350805
96161,6454,6455,10,None,False,0.20838096326779448,0.08930612711476908,1200.0,0.0,0.0,1.0,170.08486,"LINESTRING (84155.3046875 449187.25, 84221.5234375 449239.375, 84292.078125 449288.21875)",1.0,1200.0,1200.0,0.20838096326779448,0.08930612711476908,585.9021548264959,1367.10502792849,585.9021548264959,1367.10502792849,99999,0.15,4,0,0,122.09085540342167
96162,6455,6454,10,None,False,0.20838096326779448,0.08930612711476908,1200.0,0.0,0.0,1.0,170.08486,"LINESTRING (84155.3046875 449187.25, 84221.5234375 449239.375, 84292.078125 449288.21875)",1.0,1200.0,1200.0,0.20838096326779448,0.08930612711476908,585.9021548264959,1367.10502792849,585.9021548264959,1367.10502792849,99999,0.15,4,0,0,122.09085540342167
96191,6453,6454,10,None,False,0.20838096326779448,0.08930612711476908,1200.0,0.0,0.0,1.0,231.6424,"LINESTRING (83970.78125 449047.25, 84066.3046875 449117.8125, 84155.3046875 449187.25)",1.0,1200.0,1200.0,0.20838096326779448,0.08930612711476908,798.2503445361763,1862.5841372510777,798.2503445361763,1862.5841372510777,99999,0.15,4,0,0,166.34017572329725
96192,6454,6453,10,None,False,0.20838096326779448,0.08930612711476908,1200.0,0.0,0.0,1.0,231.6424,"LINESTRING (83970.78125 449047.25, 84066.3046875 449117.8125, 84155.3046875 449187.25)",1.0,1200.0,1200.0,0.20838096326779448,0.08930612711476908,798.2503445361763,1862.5841372510777,798.2503445361763,1862.5841372510777,99999,0.15,4,0,0,166.34017572329725
